: антонимы с не-
долго недолго возможно невозможно
долго недолго можно нельзя
долго недолго далеко недалеко
долго недолго всех никого
долго недолго всегда никогда
долго недолго приятно неприятно
долго недолго хорошо нехорошо
долго недолго правда неправда
долго недолго давно недавно
долго недолго справедливо несправедливо
долго недолго заметно незаметно
долго недолго охотно неохотно
долго недолго известно неизвестно
долго недолго счастье несчастье
долго недолго терпеливо нетерпеливо
счастье несчастье возможно невозможно
счастье несчастье можно нельзя
счастье несчастье далеко недалеко
счастье несчастье всех никого
счастье несчастье всегда никогда
счастье несчастье приятно неприятно
счастье несчастье хорошо нехорошо
счастье несчастье правда неправда
счастье несчастье давно недавно
счастье несчастье справедливо несправедливо
счастье несчастье заметно незаметно
счастье несчастье охотно неохотно
счастье несчастье известно неизвестно
счастье несчастье долго недолго
счастье несчастье терпеливо нетерпеливо
терпеливо нетерпеливо возможно невозможно
терпеливо нетерпеливо можно нельзя
терпеливо нетерпеливо далеко недалеко
терпеливо нетерпеливо всех никого
терпеливо нетерпеливо всегда никогда
терпеливо нетерпеливо приятно неприятно
терпеливо нетерпеливо хорошо нехорошо
терпеливо нетерпеливо правда неправда
терпеливо нетерпеливо давно недавно
терпеливо нетерпеливо справедливо несправедливо
терпеливо нетерпеливо заметно незаметно
терпеливо нетерпеливо охотно неохотно
терпеливо нетерпеливо известно неизвестно
терпеливо нетерпеливо долго недолго
терпеливо нетерпеливо счастье несчастье
